Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-tjl7,counterbalance-lxdj,counterbalance-yqqs,counterbalance-jiws,counterbalance-eqty,counterbalance-xsf1,branch-4fbe,branch-ziux,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Response1,Response2,Response3,Response4,image1,training,intro1,intro2,intro3,train_conf1,green_tick,ANSWER1,next,go,cross_mark,train_conf2,train_conf3,train_conf4,train_conf5,didyouknow,definition,sampleimages,question,test,ANSWER2,ANSWER3,ANSWER4,ANSWER5,SAMguessed,visualization,ShowProgressBar,image0,black_arrow,black_arrow2,arrow_beam,black_arrow3,black_arrow4,answer,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,file_name,file_name1,file_name2,file_name3,file_name4,file_name5,file_name6,file_name7,file_name8,file_name9,file_name10,file_name11,file_name12,file_name13,file_name14,file_name15,didyouknow1,didyouknow2,didyouknow3,didyouknow4,didyouknow5,didyouknow6,didyouknow7,didyouknow8,didyouknow9,didyouknow10,didyouknow11,didyouknow12,didyouknow13,didyouknow14,didyouknow15,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,definition13,definition14,definition15,sampleimages1,sampleimages2,sampleimages3,sampleimages4,sampleimages5,sampleimages6,sampleimages7,sampleimages8,sampleimages9,sampleimages10,sampleimages11,sampleimages12,sampleimages13,sampleimages14,sampleimages15,SAMguessed1,SAMguessed2,SAMguessed3,SAMguessed4,SAMguessed5,SAMguessed6,SAMguessed7,SAMguessed8,SAMguessed9,SAMguessed10,SAMguessed11,SAMguessed12,SAMguessed13,SAMguessed14,SAMguessed15,visualization1,visualization2,visualization3,visualization4,visualization5,visualization6,visualization7,visualization8,visualization9,visualization10,visualization11,visualization12,visualization13,visualization14,visualization15,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15
26,1614747207388,03/03/2021 04:53:27,1614747202618,1,03/03/2021 05:53:22,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,5,1,1,Screen 1,buttonB,response_button_text,1703.5000000032596,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen an **italian greyhound** before?,"<h3 style=""text-align: center""> <strong>italian greyhound</strong>: a toy dog developed from the greyhound</h3>",n02091032.jpeg,# Is this **italian greyhound**?,,,,,,# Sam guessed this is **91% italian greyhound**,n02091032_n02108915_3675_n02108915_245_171_91.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02091032_n02108915_3675_n02108915_245_171_91.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1614747215576,03/03/2021 04:53:35,1614747206336,1,03/03/2021 05:53:26,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,5,1,2,Screen 2,advancementZone,continue_button,3655.1999999937834,,,,,0,1,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen an **italian greyhound** before?,"<h3 style=""text-align: center""> <strong>italian greyhound</strong>: a toy dog developed from the greyhound</h3>",n02091032.jpeg,# Is this **italian greyhound**?,,,,,,# Sam guessed this is **91% italian greyhound**,n02091032_n02108915_3675_n02108915_245_171_91.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02091032_n02108915_3675_n02108915_245_171_91.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1614747219906,03/03/2021 04:53:39,1614747208963,1,03/03/2021 05:53:28,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,5,1,3,Screen 3,Zone5,response_button_text,2573.90000000305,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen an **italian greyhound** before?,"<h3 style=""text-align: center""> <strong>italian greyhound</strong>: a toy dog developed from the greyhound</h3>",n02091032.jpeg,# Is this **italian greyhound**?,,,,,,# Sam guessed this is **91% italian greyhound**,n02091032_n02108915_3675_n02108915_245_171_91.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02091032_n02108915_3675_n02108915_245_171_91.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1614747219906,03/03/2021 04:53:39,1614747210915,1,03/03/2021 05:53:30,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,6,2,1,Screen 1,buttonB,response_button_text,1864.000000001397,,,No,1,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **basset** before?,"<h3 style=""text-align: center""> <strong>basset</strong>: smooth-haired breed of hound with short legs and long ears</h3>",n02088238.jpeg,# Is this **basset**?,,,,,,# Sam guessed this is **91% basset**,n02088238_n02088238_6053_n02088238_91.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02088238_n02088238_6053_n02088238_91.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1614747219906,03/03/2021 04:53:39,1614747213506,1,03/03/2021 05:53:33,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,6,2,2,Screen 2,advancementZone,continue_button,2538.5999999998603,,,,,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **basset** before?,"<h3 style=""text-align: center""> <strong>basset</strong>: smooth-haired breed of hound with short legs and long ears</h3>",n02088238.jpeg,# Is this **basset**?,,,,,,# Sam guessed this is **91% basset**,n02088238_n02088238_6053_n02088238_91.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02088238_n02088238_6053_n02088238_91.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1614747224801,03/03/2021 04:53:44,1614747214687,1,03/03/2021 05:53:34,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,6,2,3,Screen 3,Zone3,response_button_text,1143.4000000008382,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **basset** before?,"<h3 style=""text-align: center""> <strong>basset</strong>: smooth-haired breed of hound with short legs and long ears</h3>",n02088238.jpeg,# Is this **basset**?,,,,,,# Sam guessed this is **91% basset**,n02088238_n02088238_6053_n02088238_91.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02088238_n02088238_6053_n02088238_91.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1614747224801,03/03/2021 04:53:44,1614747217071,1,03/03/2021 05:53:37,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,7,3,1,Screen 1,buttonB,response_button_text,2308.4000000017113,,,No,1,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen an **african hunting dog** before?,"<h3 style=""text-align: center""> <strong>african hunting dog</strong>: a powerful doglike mammal of southern and eastern Africa that hunts in large packs</h3>",n02116738.jpeg,# Is this **african hunting dog**?,,,,,,# Sam guessed this is **99% african hunting dog**,n02116738_n02116738_7988_n02116738_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02116738_n02116738_7988_n02116738_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1614747229986,03/03/2021 04:53:49,1614747224343,1,03/03/2021 05:53:44,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,7,3,2,Screen 2,advancementZone,continue_button,7218.399999997928,,,,,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen an **african hunting dog** before?,"<h3 style=""text-align: center""> <strong>african hunting dog</strong>: a powerful doglike mammal of southern and eastern Africa that hunts in large packs</h3>",n02116738.jpeg,# Is this **african hunting dog**?,,,,,,# Sam guessed this is **99% african hunting dog**,n02116738_n02116738_7988_n02116738_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02116738_n02116738_7988_n02116738_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1614747243852,03/03/2021 04:54:03,1614747225681,1,03/03/2021 05:53:45,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,7,3,3,Screen 3,Zone3,response_button_text,1284.4000000040978,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen an **african hunting dog** before?,"<h3 style=""text-align: center""> <strong>african hunting dog</strong>: a powerful doglike mammal of southern and eastern Africa that hunts in large packs</h3>",n02116738.jpeg,# Is this **african hunting dog**?,,,,,,# Sam guessed this is **99% african hunting dog**,n02116738_n02116738_7988_n02116738_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02116738_n02116738_7988_n02116738_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1614747243852,03/03/2021 04:54:03,1614747226898,1,03/03/2021 05:53:46,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,8,4,1,Screen 1,buttonB,response_button_text,1139.2000000050757,,,No,1,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **rhodesian ridgeback** before?,"<h3 style=""text-align: center""> <strong>rhodesian ridgeback</strong>: a powerful short-haired African hunting dog having a crest of reversed hair along the spine</h3>",n02087394.jpeg,# Is this **rhodesian ridgeback**?,,,,,,# Sam guessed this is **99% rhodesian ridgeback**,n02087394_n02087394_11876_n02087394_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087394_n02087394_11876_n02087394_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1614747256879,03/03/2021 04:54:16,1614747230187,1,03/03/2021 05:53:50,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,8,4,2,Screen 2,advancementZone,continue_button,3209.500000004482,,,,,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **rhodesian ridgeback** before?,"<h3 style=""text-align: center""> <strong>rhodesian ridgeback</strong>: a powerful short-haired African hunting dog having a crest of reversed hair along the spine</h3>",n02087394.jpeg,# Is this **rhodesian ridgeback**?,,,,,,# Sam guessed this is **99% rhodesian ridgeback**,n02087394_n02087394_11876_n02087394_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087394_n02087394_11876_n02087394_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1614747256879,03/03/2021 04:54:16,1614747231502,1,03/03/2021 05:53:51,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,8,4,3,Screen 3,Zone3,response_button_text,1249.8000000050524,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **rhodesian ridgeback** before?,"<h3 style=""text-align: center""> <strong>rhodesian ridgeback</strong>: a powerful short-haired African hunting dog having a crest of reversed hair along the spine</h3>",n02087394.jpeg,# Is this **rhodesian ridgeback**?,,,,,,# Sam guessed this is **99% rhodesian ridgeback**,n02087394_n02087394_11876_n02087394_99.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087394_n02087394_11876_n02087394_99.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1614747256879,03/03/2021 04:54:16,1614747234803,1,03/03/2021 05:53:54,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,9,5,1,Screen 1,buttonB,response_button_text,3222.0999999990454,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **walker hound** before?,"<h3 style=""text-align: center""> <strong>walker hound</strong>: an American breed of foxhound</h3>",n02089867.jpeg,# Is this **walker hound**?,,,,,,# Sam guessed this is **59% walker hound**,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1614747256879,03/03/2021 04:54:16,1614747236635,1,03/03/2021 05:53:56,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,9,5,2,Screen 2,advancementZone,continue_button,1774.7999999992317,,,,,0,1,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **walker hound** before?,"<h3 style=""text-align: center""> <strong>walker hound</strong>: an American breed of foxhound</h3>",n02089867.jpeg,# Is this **walker hound**?,,,,,,# Sam guessed this is **59% walker hound**,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1614747256879,03/03/2021 04:54:16,1614747238362,1,03/03/2021 05:53:58,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,9,5,3,Screen 3,Zone5,response_button_text,1659.800000001269,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **walker hound** before?,"<h3 style=""text-align: center""> <strong>walker hound</strong>: an American breed of foxhound</h3>",n02089867.jpeg,# Is this **walker hound**?,,,,,,# Sam guessed this is **59% walker hound**,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02089867_n02088238_5371_n02088238_161_166_59.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1614747256879,03/03/2021 04:54:16,1614747241053,1,03/03/2021 05:54:01,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,10,6,1,Screen 1,buttonB,response_button_text,1229.2000000015832,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **toy terrier** before?,"<h3 style=""text-align: center""> <strong>toy terrier</strong>: a small active dog</h3>",n02087046.jpeg,# Is this **toy terrier**?,,,,,,# Sam guessed this is **31% toy terrier**,n02087046_n02102177_797_n02102177_218_158_31.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087046_n02102177_797_n02102177_218_158_31.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1614747260547,03/03/2021 04:54:20,1614747242794,1,03/03/2021 05:54:02,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,10,6,2,Screen 2,advancementZone,continue_button,1693.3999999964726,,,,,0,1,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **toy terrier** before?,"<h3 style=""text-align: center""> <strong>toy terrier</strong>: a small active dog</h3>",n02087046.jpeg,# Is this **toy terrier**?,,,,,,# Sam guessed this is **31% toy terrier**,n02087046_n02102177_797_n02102177_218_158_31.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087046_n02102177_797_n02102177_218_158_31.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1614747260547,03/03/2021 04:54:20,1614747244223,1,03/03/2021 05:54:04,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,10,6,3,Screen 3,Zone5,response_button_text,1394.399999997404,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **toy terrier** before?,"<h3 style=""text-align: center""> <strong>toy terrier</strong>: a small active dog</h3>",n02087046.jpeg,# Is this **toy terrier**?,,,,,,# Sam guessed this is **31% toy terrier**,n02087046_n02102177_797_n02102177_218_158_31.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02087046_n02102177_797_n02102177_218_158_31.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1614747260547,03/03/2021 04:54:20,1614747247957,1,03/03/2021 05:54:07,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,11,7,1,Screen 1,buttonB,response_button_text,983.5000000020955,,,No,1,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **japanese spaniel** before?,"<h3 style=""text-align: center""> <strong>japanese spaniel</strong>: breed of toy dogs originating in Japan having a silky black-and-white or red-and-white coat</h3>",n02085782.jpeg,# Is this **japanese spaniel**?,,,,,,# Sam guessed this is **100% japanese spaniel**,n02085782_n02085782_3354_n02085782_100.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02085782_n02085782_3354_n02085782_100.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1614747260547,03/03/2021 04:54:20,1614747250213,1,03/03/2021 05:54:10,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,11,7,2,Screen 2,advancementZone,continue_button,2195.50000000163,,,,,0,1,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **japanese spaniel** before?,"<h3 style=""text-align: center""> <strong>japanese spaniel</strong>: breed of toy dogs originating in Japan having a silky black-and-white or red-and-white coat</h3>",n02085782.jpeg,# Is this **japanese spaniel**?,,,,,,# Sam guessed this is **100% japanese spaniel**,n02085782_n02085782_3354_n02085782_100.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02085782_n02085782_3354_n02085782_100.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1614747260547,03/03/2021 04:54:20,1614747251464,1,03/03/2021 05:54:11,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,11,7,3,Screen 3,Zone3,response_button_text,1200.0000000043656,,,Yes,1,1,0,0,,,,,,Validation,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **japanese spaniel** before?,"<h3 style=""text-align: center""> <strong>japanese spaniel</strong>: breed of toy dogs originating in Japan having a silky black-and-white or red-and-white coat</h3>",n02085782.jpeg,# Is this **japanese spaniel**?,,,,,,# Sam guessed this is **100% japanese spaniel**,n02085782_n02085782_3354_n02085782_100.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02085782_n02085782_3354_n02085782_100.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1614747261392,03/03/2021 04:54:21,1614747259038,1,03/03/2021 05:54:19,38788,24,task-phxr,,10562748,5f9b014daee4da2af5391e54,3213021,,complete,,603f157528b8f009a3a50f48,computer,Desktop or Laptop,Linux x86_64,Chrome 88.0.4324.181,1040x480,1005x396,,Dog_SOD_Val,2,SOD,,,,5,,Qualified,,Input,Input,12,8,1,Screen 1,buttonB,response_button_text,1433.3000000042375,,,No,1,1,0,0,,,,,,Validation,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,# Have you ever seen a **saluki** before?,"<h3 style=""text-align: center""> <strong>saluki</strong>: old breed of tall swift keen-eyed hunting dogs resembling greyhounds</h3>",n02091831.jpeg,# Is this **saluki**?,,,,,,# Sam guessed this is **54% saluki**,n02091831_n02113186_7490_n02113186_264_176_54.jpeg,1,,,,,,,,,,,,,,,,,,,,,,,n02091831_n02113186_7490_n02113186_264_176_54.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
